ECR,Player,Kickoff,Opp,This Week,Last Week,Difference
-,Devron Harper (MIN - WR),Sun 1:00PM,DET,"$4,000",-,-
222,Mason Tipton (NO - WR),Thu 8:15PM,DEN,"$4,900","$4,600",+300
-,Jermaine Jackson (NO - WR),Thu 8:15PM,DEN,"$4,000","$4,000",0
-,Kyle Sheets (KC - WR),Sun 4:25PM,@SF,"$4,000",-,-
-,Casey Bauman (LAC - QB),Mon 9:00PM,@ARI,"$6,000","$6,000",0
-,Jalen Jackson (JAC - RB),Sun 9:30AM,NE,"$4,000","$4,000",0
-,Wayne Ruby (JAC - WR),Sun 9:30AM,NE,"$4,000","$4,000",0
-,David White Jr. (JAC - WR),Sun 9:30AM,NE,"$4,000","$4,000",0
-,Brevin Easton (JAC - WR),Sun 9:30AM,NE,"$4,000","$4,000",0
-,JJ Laap (LAR - WR),Sun 4:05PM,LV,"$4,000",-,-
-,Peewee Jarrett (NYJ - QB),Sun 8:20PM,@PIT,"$6,000","$6,000",0
-,Chris Collier (BAL - RB),Mon 8:15PM,@TB,"$4,000","$4,000",0
-,Mike Rigerman (BAL - TE),Mon 8:15PM,@TB,"$4,000","$4,000",0
-,Hayden Hatten (SEA - WR),Sun 1:00PM,@ATL,"$4,000","$4,000",0
-,Jaaron Hayek (KC - WR),Sun 4:25PM,@SF,"$4,000",-,-
357,Kameron Johnson (TB - WR),Mon 8:15PM,BAL,"$4,100","$4,300",-200
-,Kevin Foelsch (PHI - TE),Sun 1:00PM,@NYG,"$4,000","$4,000",0
205,Jalen Coker (CAR - WR),Sun 4:05PM,@WAS,"$4,200","$4,000",+200
-,Jaden Shirden (CAR - RB),Sun 4:05PM,@WAS,"$4,000","$4,000",0
-,John Jiles (NE - WR),Sun 9:30AM,@JAC,"$4,000","$4,000",0
-,Cole Burgess (CIN - WR),Sun 1:00PM,@CLE,"$4,000","$4,000",0
-,Cam Grandy (CIN - TE),Sun 1:00PM,@CLE,"$4,000","$4,000",0
-,Sam Schnee (TEN - WR),Sun 1:00PM,@BUF,"$4,000","$4,000",0
-,David Wallis (NE - WR),Sun 9:30AM,@JAC,"$4,000","$4,000",0
-,Derek Slywka (IND - WR),Sun 1:00PM,MIA,"$4,000","$4,000",0
-,Praise Olatoke (CAR - WR),Sun 4:05PM,@WAS,"$4,000","$4,000",0
-,Devon Garrison (SEA - TE),Sun 1:00PM,@ATL,"$4,000","$4,000",0
150,Russell Wilson (PIT - QB),Sun 8:20PM,NYJ,"$6,400","$6,000",+400
13,Kirk Cousins (ATL - QB),Sun 1:00PM,SEA,"$7,200","$7,400",-200
-,Case Keenum (HOU - QB),Sun 1:00PM,@GB,"$6,000","$6,000",0
-,Andrew DePaola (MIN - TE),Sun 1:00PM,DET,"$4,000",-,-
265,Mo Alie-Cox (IND - TE),Sun 1:00PM,MIA,"$4,700","$4,600",+100
-,Martavis Bryant (WAS - WR),Sun 4:05PM,CAR,"$4,000","$4,000",0
-,Jamison Crowder (WAS - WR),Sun 4:05PM,CAR,"$4,000","$4,000",0
290,Jameis Winston (CLE - QB),Sun 1:00PM,CIN,"$6,000","$6,300",-300
52,Stefon Diggs (HOU - WR),Sun 1:00PM,@GB,"$8,600","$8,000",+600
235,Mack Hollins (BUF - WR),Sun 1:00PM,TEN,"$5,200","$5,300",-100
-,Phillip Dorsett II (DEN - WR),Thu 8:15PM,@NO,"$4,000","$4,000",0
275,Michael Burton (DEN - RB),Thu 8:15PM,@NO,"$4,100","$4,200",-100
-,Robbie Chosen (MIA - WR),Sun 1:00PM,@IND,"$4,000",-,-
-,Logan Thomas (SF - TE),Sun 4:25PM,KC,"$4,000","$4,000",0
11,Geno Smith (SEA - QB),Sun 1:00PM,@ATL,"$7,600","$7,900",-300
108,Tyler Lockett (SEA - WR),Sun 1:00PM,@ATL,"$5,800","$6,000",-200
215,Ameer Abdullah (LV - RB),Sun 4:05PM,@LAR,"$4,700","$4,800",-100
204,Sterling Shepard (TB - WR),Mon 8:15PM,BAL,"$5,000","$4,900",+100
-,Justin Hardee Sr. (CAR - WR),Sun 4:05PM,@WAS,"$4,000","$4,000",0
-,Nate Sudfeld (DET - QB),Sun 1:00PM,@MIN,"$6,000","$6,000",0
-,C.J. Beathard (JAC - QB),Sun 9:30AM,NE,"$6,000","$6,000",0
-,Trevor Siemian (TEN - QB),Sun 1:00PM,@BUF,"$6,000",-,-
330,Nick Vannett (TEN - TE),Sun 1:00PM,@BUF,"$4,000","$4,100",-100
380,Allen Robinson II (DET - WR),Sun 1:00PM,@MIN,"$4,000","$4,000",0
117,Raheem Mostert (MIA - RB),Sun 1:00PM,@IND,"$6,300",-,-
252,Dare Ogunbowale (HOU - RB),Sun 1:00PM,@GB,"$4,800","$5,400",-600
-,Marcus Mariota (WAS - QB),Sun 4:05PM,CAR,"$6,000","$6,000",0
323,Pharaoh Brown (SEA - TE),Sun 1:00PM,@ATL,"$4,000","$4,000",0
197,Nelson Agholor (BAL - WR),Mon 8:15PM,@TB,"$4,700","$4,900",-200
284,Robert Woods (HOU - WR),Sun 1:00PM,@GB,"$5,100","$5,000",+100
138,Zach Ertz (WAS - TE),Sun 4:05PM,CAR,"$5,100","$5,000",+100
-,Jacoby Brissett (NE - QB),Sun 9:30AM,@JAC,"$6,400","$6,400",0
-,Jeff Driskel (WAS - QB),Sun 4:05PM,CAR,"$6,000","$6,000",0
361,Chris Conley (SF - WR),Sun 4:25PM,KC,"$4,200","$4,400",-200
-,Damiere Byrd (BUF - WR),Sun 1:00PM,TEN,"$4,000","$4,000",0
243,Cordarrelle Patterson (PIT - RB),Sun 8:20PM,NYJ,"$4,800","$4,800",0
-,Nathan Peterman (ATL - QB),Sun 1:00PM,SEA,"$6,000","$6,000",0
-,Jordan Matthews (CAR - WR),Sun 4:05PM,@WAS,"$4,000","$4,000",0
85,Amari Cooper (BUF - WR),Sun 1:00PM,TEN,"$6,100","$6,200",-100
-,Brandon Allen (SF - QB),Sun 4:25PM,KC,"$6,000","$6,000",0
-,C.J. Uzomah (PHI - TE),Sun 1:00PM,@NYG,"$4,000","$4,000",0
247,Odell Beckham Jr. (MIA - WR),Sun 1:00PM,@IND,"$4,700",-,-
59,Mike Evans (TB - WR),Mon 8:15PM,BAL,"$8,000","$8,200",-200
-,Jakeem Grant Sr. (ATL - WR),Sun 1:00PM,SEA,"$4,000","$4,000",0
372,Eric Tomlinson (LAC - TE),Mon 9:00PM,@ARI,"$4,000","$4,000",0
-,Chris Moore (ARI - WR),Mon 9:00PM,LAC,"$4,000","$4,100",-100
72,Travis Kelce (KC - TE),Sun 4:25PM,@SF,"$7,100",-,-
159,Demarcus Robinson (LAR - WR),Sun 4:05PM,LV,"$5,500",-,-
17,Jared Goff (DET - QB),Sun 1:00PM,@MIN,"$7,800","$7,700",+100
360,Geoff Swaim (CLE - TE),Sun 1:00PM,CIN,"$4,000","$4,000",0
-,Mitchell Trubisky (BUF - QB),Sun 1:00PM,TEN,"$6,000","$6,000",0
18,Derrick Henry (BAL - RB),Mon 8:15PM,@TB,"$9,300","$9,100",+200
216,Kyle Juszczyk (SF - RB),Sun 4:25PM,KC,"$4,400","$4,100",+300
-,Adam Thielen (CAR - WR),Sun 4:05PM,@WAS,"$5,000","$5,000",0
73,George Kittle (SF - TE),Sun 4:25PM,KC,"$7,500","$7,200",+300
223,Mike Williams (NYJ - WR),Sun 8:20PM,@PIT,"$5,400","$5,400",0
261,Austin Hooper (NE - TE),Sun 9:30AM,@JAC,"$4,500","$4,500",0
-,Gus Edwards (LAC - RB),Mon 9:00PM,@ARI,"$5,000","$5,100",-100
239,Johnny Mundt (MIN - TE),Sun 1:00PM,DET,"$4,700",-,-
-,Joshua Dobbs (SF - QB),Sun 4:25PM,KC,"$6,000","$6,000",0
-,Greg Ward (IND - WR),Sun 1:00PM,MIA,"$4,000","$4,000",0
122,Aaron Jones (MIN - RB),Sun 1:00PM,DET,"$7,200",-,-
-,Tim Boyle (MIA - QB),Sun 1:00PM,@IND,"$6,000",-,-
-,Mike White (BUF - QB),Sun 1:00PM,TEN,"$6,000","$6,000",0
304,Marquez Valdes-Scantling (BUF - WR),Sun 1:00PM,TEN,"$4,400","$4,600",-200
206,Tyler Boyd (TEN - WR),Sun 1:00PM,@BUF,"$4,900","$5,000",-100
61,James Conner (ARI - RB),Mon 9:00PM,LAC,"$7,700","$8,000",-300
146,Hunter Henry (NE - TE),Sun 9:30AM,@JAC,"$5,000","$5,000",0
314,Zay Jones (ARI - WR),Mon 9:00PM,LAC,"$5,200","$4,000","+1,200"
-,John Ross (PHI - WR),Sun 1:00PM,@NYG,"$4,000","$4,000",0
7,Baker Mayfield (TB - QB),Mon 8:15PM,BAL,"$8,300","$7,900",+400
-,Nick Mullens (MIN - QB),Sun 1:00PM,DET,"$6,000",-,-
-,Laquon Treadwell (IND - WR),Sun 1:00PM,MIA,"$4,000","$4,000",0
-,P.J. Walker (SEA - QB),Sun 1:00PM,@ATL,"$6,000","$6,000",0
97,Evan Engram (JAC - TE),Sun 9:30AM,NE,"$5,800","$5,800",0
-,Anthony Miller (BAL - WR),Mon 8:15PM,@TB,"$4,000","$4,000",0
-,River Cracraft (MIA - WR),Sun 1:00PM,@IND,"$4,000",-,-
319,Durham Smythe (MIA - TE),Sun 1:00PM,@IND,"$4,200",-,-
-,James Winchester (KC - TE),Sun 4:25PM,@SF,"$4,000",-,-
30,Alvin Kamara (NO - RB),Thu 8:15PM,DEN,"$8,500","$8,800",-300
-,Trent Taylor (SF - WR),Sun 4:25PM,KC,"$4,000","$4,100",-100
-,Boston Scott (PIT - RB),Sun 8:20PM,NYJ,"$4,000","$4,000",0
-,Willie Snead IV (MIA - WR),Sun 1:00PM,@IND,"$4,000",-,-
58,Kareem Hunt (KC - RB),Sun 4:25PM,@SF,"$7,700",-,-
-,Logan Woodside (CIN - QB),Sun 1:00PM,@CLE,"$6,000","$6,000",0
196,Taysom Hill (NO - TE),Thu 8:15PM,DEN,"$6,000","$6,200",-200
219,Jamaal Williams (NO - RB),Thu 8:15PM,DEN,"$5,100","$5,300",-200
-,Derek Carr (NO - QB),Thu 8:15PM,DEN,"$7,100","$7,500",-400
162,Davante Adams (NYJ - WR),Sun 8:20PM,@PIT,"$6,900","$7,000",-100
-,Keith Kirkwood (BAL - WR),Mon 8:15PM,@TB,"$4,000","$4,000",0
-,David Wells (TB - TE),Mon 8:15PM,BAL,"$4,000","$4,000",0
-,Tyler Higbee (LAR - TE),Sun 4:05PM,LV,"$4,000",-,-
171,Jonnu Smith (MIA - TE),Sun 1:00PM,@IND,"$5,000",-,-
-,Will Grier (PHI - QB),Sun 1:00PM,@NYG,"$6,000","$6,000",0
322,Brandon Powell (MIN - WR),Sun 1:00PM,DET,"$4,600",-,-
-,Jakob Johnson (NYG - RB),Sun 1:00PM,PHI,"$4,000","$4,000",0
143,Mark Andrews (BAL - TE),Mon 8:15PM,@TB,"$5,700","$5,500",+200
32,Joe Mixon (HOU - RB),Sun 1:00PM,@GB,"$8,400","$8,300",+100
231,Samaje Perine (KC - RB),Sun 4:25PM,@SF,"$5,200",-,-
337,Braxton Berrios (MIA - WR),Sun 1:00PM,@IND,"$4,200",-,-
173,Curtis Samuel (BUF - WR),Sun 1:00PM,TEN,"$5,100","$5,400",-300
-,Russell Gage (BAL - WR),Mon 8:15PM,@TB,"$4,000","$4,000",0
-,DJ Chark Jr. (LAC - WR),Mon 9:00PM,@ARI,"$4,000","$4,000",0
-,Jake Luton (CAR - QB),Sun 4:05PM,@WAS,"$6,000","$6,000",0
-,Kyle Allen (PIT - QB),Sun 8:20PM,NYJ,"$6,000","$6,000",0
-,Josh Reynolds (DEN - WR),Thu 8:15PM,@NO,"$4,900","$4,900",0
-,Matt Breida (SF - RB),Sun 4:25PM,KC,"$4,000","$4,000",0
-,Taylor Heinicke (LAC - QB),Mon 9:00PM,@ARI,"$6,000","$6,000",0
363,Zach Pascal (ARI - WR),Mon 9:00PM,LAC,"$4,200","$4,000",+200
111,Nick Chubb (CLE - RB),Sun 1:00PM,CIN,"$6,800","$6,200",+600
-,Isaiah McKenzie (NYG - WR),Sun 1:00PM,PHI,"$4,000","$4,000",0
71,Tyreek Hill (MIA - WR),Sun 1:00PM,@IND,"$7,900",-,-
356,Mason Rudolph (TEN - QB),Sun 1:00PM,@BUF,"$6,000","$6,600",-600
-,Nick Bawden (HOU - RB),Sun 1:00PM,@GB,"$4,000","$4,000",0
-,Jacob Hollister (CAR - TE),Sun 4:05PM,@WAS,"$4,000","$4,000",0
-,Matt Sokol (PIT - TE),Sun 8:20PM,NYJ,"$4,000","$4,000",0
-,Andrew Beck (GB - TE),Sun 1:00PM,HOU,"$4,000","$4,000",0
-,Cam Sims (CAR - WR),Sun 4:05PM,@WAS,"$4,000","$4,000",0
-,Alex McGough (GB - QB),Sun 1:00PM,HOU,"$6,000","$6,000",0
-,Jimmy Garoppolo (LAR - QB),Sun 4:05PM,LV,"$6,000",-,-
-,Tyler Ott (WAS - TE),Sun 4:05PM,CAR,"$4,000","$4,000",0
34,Deshaun Watson (CLE - QB),Sun 1:00PM,CIN,"$6,800","$6,600",+200
136,Dalton Schultz (HOU - TE),Sun 1:00PM,@GB,"$5,200","$5,300",-100
389,Christian McCaffrey (SF - RB),Sun 4:25PM,KC,"$4,000","$4,000",0
-,Malik Turner (SF - WR),Sun 4:25PM,KC,"$4,000","$4,000",0
139,David Njoku (CLE - TE),Sun 1:00PM,CIN,"$5,300","$5,400",-100
-,Cody Thompson (TB - WR),Mon 8:15PM,BAL,"$4,000","$4,000",0
299,Jeff Wilson Jr. (MIA - RB),Sun 1:00PM,@IND,"$4,600",-,-
43,Chris Godwin (TB - WR),Mon 8:15PM,BAL,"$7,900","$7,500",+400
-,James Washington (ATL - WR),Sun 1:00PM,SEA,"$4,000","$4,000",0
183,D'Onta Foreman (CLE - RB),Sun 1:00PM,CIN,"$5,400","$5,100",+300
-,Royce Freeman (CLE - RB),Sun 1:00PM,CIN,"$4,000","$4,000",0
90,JuJu Smith-Schuster (KC - WR),Sun 4:25PM,@SF,"$6,100",-,-
62,Deebo Samuel Sr. (SF - WR),Sun 4:25PM,KC,"$8,200","$7,900",+300
346,Trent Sherfield Sr. (MIN - WR),Sun 1:00PM,DET,"$4,200",-,-
-,Juwann Winfree (IND - WR),Sun 1:00PM,MIA,"$4,000","$4,000",0
-,John Wolford (TB - QB),Mon 8:15PM,BAL,"$6,000","$6,000",0
132,Noah Brown (WAS - WR),Sun 4:05PM,CAR,"$5,000","$4,700",+300
57,Terry McLaurin (WAS - WR),Sun 4:05PM,CAR,"$7,200","$6,800",+400
317,Parris Campbell (PHI - WR),Sun 1:00PM,@NYG,"$5,000","$5,200",-200
182,Mike Gesicki (CIN - TE),Sun 1:00PM,@CLE,"$5,000","$5,100",-100
-,Trace McSorley (WAS - QB),Sun 4:05PM,CAR,"$6,000","$6,000",0
200,Jeremy McNichols (WAS - RB),Sun 4:05PM,CAR,"$5,500","$5,000",+500
195,Will Dissly (LAC - TE),Mon 9:00PM,@ARI,"$4,800","$4,800",0
315,Drew Sample (CIN - TE),Sun 1:00PM,@CLE,"$4,200","$4,100",+100
123,Allen Lazard (NYJ - WR),Sun 8:20PM,@PIT,"$5,700","$5,800",-100
-,Chris Myarick (HOU - TE),Sun 1:00PM,@GB,"$4,000","$4,000",0
179,Tim Patrick (DET - WR),Sun 1:00PM,@MIN,"$4,800","$4,600",+200
296,Jordan Akins (CLE - TE),Sun 1:00PM,CIN,"$4,700","$4,800",-100
-,Tre'Quan Smith (DET - WR),Sun 1:00PM,@MIN,"$4,000","$4,000",0
101,Courtland Sutton (DEN - WR),Thu 8:15PM,@NO,"$5,700","$5,600",+100
14,Patrick Mahomes II (KC - QB),Sun 4:25PM,@SF,"$8,000",-,-
166,D'Ernest Johnson (JAC - RB),Sun 9:30AM,NE,"$4,400","$4,300",+100
-,Mike Boone (CAR - RB),Sun 4:05PM,@WAS,"$4,000","$4,000",0
-,Mitchell Fraboni (DEN - TE),Thu 8:15PM,@NO,"$4,000","$4,000",0
365,Parker Hesse (DET - TE),Sun 1:00PM,@MIN,"$4,000","$4,000",0
-,Sammis Reyes (MIN - TE),Sun 1:00PM,DET,"$4,000",-,-
160,Tyler Conklin (NYJ - TE),Sun 8:20PM,@PIT,"$5,000","$5,100",-100
255,Foster Moreau (NO - TE),Thu 8:15PM,DEN,"$4,800","$4,700",+100
-,Tommy Hudson (NO - TE),Thu 8:15PM,DEN,"$4,000","$4,000",0
-,Andre Baccellia (ARI - WR),Mon 9:00PM,LAC,"$4,000","$4,000",0
-,Jake Browning (CIN - QB),Sun 1:00PM,@CLE,"$6,000","$6,000",0
-,Blake Lynch (LAC - WR),Mon 9:00PM,@ARI,"$4,000","$4,000",0
96,Christian Kirk (JAC - WR),Sun 9:30AM,NE,"$6,100","$6,200",-100
274,Myles Gaskin (MIN - RB),Sun 1:00PM,DET,"$4,400",-,-
-,Jarrett Stidham (DEN - QB),Thu 8:15PM,@NO,"$6,000","$6,000",0
-,Stanley Morgan Jr. (NO - WR),Thu 8:15PM,DEN,"$4,000","$4,000",0
411,Josiah Deguara (JAC - TE),Sun 9:30AM,NE,"$4,000","$4,100",-100
-,Brett Rypien (MIN - QB),Sun 1:00PM,DET,"$6,000",-,-
-,Tyler Davis (GB - TE),Sun 1:00PM,HOU,"$4,000","$4,000",0
335,Scotty Miller (PIT - WR),Sun 8:20PM,NYJ,"$4,300","$4,400",-100
-,David Sills V (DEN - WR),Thu 8:15PM,@NO,"$4,000","$4,000",0
131,Jauan Jennings (SF - WR),Sun 4:25PM,KC,"$5,300","$5,500",-200
306,Gardner Minshew II (LV - QB),Sun 4:05PM,@LAR,"$6,000","$6,500",-500
-,Deon Cain (CAR - WR),Sun 4:05PM,@WAS,"$4,000","$4,000",0
142,Ray-Ray McCloud III (ATL - WR),Sun 1:00PM,SEA,"$5,500","$5,600",-100
4,Josh Allen (BUF - QB),Sun 1:00PM,TEN,"$9,200","$9,300",-100
382,MyCole Pruitt (PIT - TE),Sun 8:20PM,NYJ,"$4,000","$4,000",0
362,Steven Sims Jr. (HOU - WR),Sun 1:00PM,@GB,"$4,000","$4,000",0
224,Ty Johnson (BUF - RB),Sun 1:00PM,TEN,"$5,700","$5,200",+500
-,Ke'Shawn Vaughn (SF - RB),Sun 4:25PM,KC,"$4,000","$4,000",0
1,Lamar Jackson (BAL - QB),Mon 8:15PM,@TB,"$9,400","$9,500",-100
-,James Proche II (CLE - WR),Sun 1:00PM,CIN,"$4,000","$4,000",0
6,Joe Burrow (CIN - QB),Sun 1:00PM,@CLE,"$8,200","$8,100",+100
-,Andy Isabella (BUF - WR),Sun 1:00PM,TEN,"$4,000","$4,000",0
-,Ben DiNucci (BUF - QB),Sun 1:00PM,TEN,"$6,000","$6,000",0
-,John Kelly Jr. (BAL - RB),Mon 8:15PM,@TB,"$4,000","$4,000",0
12,Kyler Murray (ARI - QB),Mon 9:00PM,LAC,"$8,100","$7,800",+300
21,Daniel Jones (NYG - QB),Sun 1:00PM,PHI,"$7,000","$6,800",+200
8,Sam Darnold (MIN - QB),Sun 1:00PM,DET,"$7,500",-,-
-,Nyheim Hines (CLE - RB),Sun 1:00PM,CIN,"$4,000","$4,000",0
109,Jakobi Meyers (LV - WR),Sun 4:05PM,@LAR,"$5,800","$5,700",+100
-,Lawrence Cager (NYG - TE),Sun 1:00PM,PHI,"$4,000","$4,000",0
263,Alec Ingold (MIA - RB),Sun 1:00PM,@IND,"$4,100",-,-
40,Tony Pollard (TEN - RB),Sun 1:00PM,@BUF,"$7,100","$7,000",+100
151,Darius Slayton (NYG - WR),Sun 1:00PM,PHI,"$6,000","$5,900",+100
-,Tyler Mabry (SEA - TE),Sun 1:00PM,@ATL,"$4,000","$4,000",0
-,Tyree Jackson (NYG - TE),Sun 1:00PM,PHI,"$4,000","$4,000",0
327,K.J. Osborn (NE - WR),Sun 9:30AM,@JAC,"$4,500","$4,500",0
297,Josh Oliver (MIN - TE),Sun 1:00PM,DET,"$4,800",-,-
-,Lucky Jackson (MIN - WR),Sun 1:00PM,DET,"$4,000",-,-
279,Hayden Hurst (LAC - TE),Mon 9:00PM,@ARI,"$4,500","$4,600",-100
-,Drew Lock (NYG - QB),Sun 1:00PM,PHI,"$6,000","$6,000",0
-,La'Michael Pettway (NE - TE),Sun 9:30AM,@JAC,"$4,000","$4,000",0
-,Britain Covey (PHI - WR),Sun 1:00PM,@NYG,"$4,500","$5,000",-500
-,Hakeem Butler (CIN - WR),Sun 1:00PM,@CLE,"$4,000","$4,000",0
-,Zach Gentry (LV - TE),Sun 4:05PM,@LAR,"$4,000","$4,000",0
-,Jeff Smith (ARI - WR),Mon 9:00PM,LAC,"$4,000","$4,000",0
311,Nick Westbrook-Ikhine (TEN - WR),Sun 1:00PM,@BUF,"$4,500","$4,000",+500
16,Saquon Barkley (PHI - RB),Sun 1:00PM,@NYG,"$9,000","$9,200",-200
-,Irvin Charles (NYJ - WR),Sun 8:20PM,@PIT,"$4,000","$4,000",0
-,Dan Chisena (ARI - WR),Mon 9:00PM,LAC,"$4,000","$4,000",0
209,Olamide Zaccheaus (WAS - WR),Sun 4:05PM,CAR,"$4,700","$5,100",-400
115,Calvin Ridley (TEN - WR),Sun 1:00PM,@BUF,"$5,700","$6,000",-300
238,Van Jefferson (PIT - WR),Sun 8:20PM,NYJ,"$4,800","$4,800",0
212,Dawson Knox (BUF - TE),Sun 1:00PM,TEN,"$4,600","$5,100",-500
-,Scotty Washington (BAL - WR),Mon 8:15PM,@TB,"$4,000","$4,000",0
-,Alex Bachman (LV - WR),Sun 4:05PM,@LAR,"$4,200","$4,000",+200
172,Juwan Johnson (NO - TE),Thu 8:15PM,DEN,"$5,200","$5,100",+100
-,Miles Boykin (SEA - WR),Sun 1:00PM,@ATL,"$4,000","$4,000",0
-,Equanimeous St. Brown (NO - WR),Thu 8:15PM,DEN,"$4,000","$4,000",0
-,Jalen Guyton (LV - WR),Sun 4:05PM,@LAR,"$4,000","$4,000",0
353,Trenton Irwin (CIN - WR),Sun 1:00PM,@CLE,"$4,000","$4,000",0
-,Mitchell Wilcox (NE - TE),Sun 9:30AM,@JAC,"$4,000","$4,000",0
369,Adam Prentice (NO - RB),Thu 8:15PM,DEN,"$4,000","$4,000",0
-,Giovanni Ricci (CLE - TE),Sun 1:00PM,CIN,"$4,000","$4,000",0
-,Jacob Harris (PHI - TE),Sun 1:00PM,@NYG,"$4,000","$4,000",0
-,Maurice Alexander (DET - WR),Sun 1:00PM,@MIN,"$4,000","$4,000",0
227,JaMycal Hasty (NE - RB),Sun 9:30AM,@JAC,"$4,200","$4,200",0
53,Diontae Johnson (CAR - WR),Sun 4:05PM,@WAS,"$7,100","$6,900",+200
-,Michael Jacobson (NO - TE),Thu 8:15PM,DEN,"$4,000","$4,000",0
23,Matthew Stafford (LAR - QB),Sun 4:05PM,LV,"$7,100",-,-
232,Joe Flacco (IND - QB),Sun 1:00PM,MIA,"$7,400","$7,200",+200
-,Austin Mack (ATL - WR),Sun 1:00PM,SEA,"$4,000","$4,000",0
281,Tyler Johnson (LAR - WR),Sun 4:05PM,LV,"$4,500",-,-
377,Ko Kieft (TB - TE),Mon 8:15PM,BAL,"$4,000","$4,000",0
-,Sean McKeon (IND - TE),Sun 1:00PM,MIA,"$4,000","$4,000",0
29,Aaron Rodgers (NYJ - QB),Sun 8:20PM,@PIT,"$6,900","$7,200",-300
-,Josh Pederson (JAC - TE),Sun 9:30AM,NE,"$4,000","$4,000",0
5,Jordan Love (GB - QB),Sun 1:00PM,HOU,"$8,700","$8,500",+200
-,Jonathan Ward (PIT - RB),Sun 8:20PM,NYJ,"$4,000","$4,700",-700
-,N'Keal Harry (MIN - WR),Sun 1:00PM,DET,"$4,000",-,-
-,Hunter Kampmoyer (DEN - TE),Thu 8:15PM,@NO,"$4,000","$4,000",0
26,Justin Herbert (LAC - QB),Mon 9:00PM,@ARI,"$7,000","$7,200",-200
99,Michael Pittman Jr. (IND - WR),Sun 1:00PM,MIA,"$6,700","$6,600",+100
-,Skylar Thompson (MIA - QB),Sun 1:00PM,@IND,"$6,000",-,-
-,Byron Pringle (WAS - WR),Sun 4:05PM,CAR,"$4,000","$4,000",0
-,Feleipe Franks (CAR - TE),Sun 4:05PM,@WAS,"$4,000","$4,000",0
-,Kyle Trask (TB - QB),Mon 8:15PM,BAL,"$6,000","$6,000",0
-,Jacob Eason (GB - QB),Sun 1:00PM,HOU,"$6,000","$6,000",0
345,Jack Stoll (PHI - TE),Sun 1:00PM,@NYG,"$4,000","$4,100",-100
-,Miller Forristall (LAR - TE),Sun 4:05PM,LV,"$4,000",-,-
3,Jalen Hurts (PHI - QB),Sun 1:00PM,@NYG,"$8,500","$8,300",+200
145,Greg Dortch (ARI - WR),Mon 9:00PM,LAC,"$5,400","$4,900",+500
221,Cedrick Wilson Jr. (NO - WR),Thu 8:15PM,DEN,"$4,800","$4,400",+400
-,Anthony Brown Jr. (BUF - QB),Sun 1:00PM,TEN,"$6,000","$6,000",0
-,Stephen Sullivan (CAR - TE),Sun 4:05PM,@WAS,"$4,000","$4,000",0
-,Jalen Virgil (BUF - WR),Sun 1:00PM,TEN,"$4,000","$4,000",0
80,Darnell Mooney (ATL - WR),Sun 1:00PM,SEA,"$6,300","$6,500",-200
-,Shane Buechele (BUF - QB),Sun 1:00PM,TEN,"$6,000","$6,000",0
383,Trayveon Williams (CIN - RB),Sun 1:00PM,@CLE,"$4,100","$4,200",-100
-,Cornell Powell (KC - WR),Sun 4:25PM,@SF,"$4,000",-,-
103,Zack Moss (CIN - RB),Sun 1:00PM,@CLE,"$6,700","$6,500",+200
-,Cole Fotheringham (LV - TE),Sun 4:05PM,@LAR,"$4,000","$4,000",0
46,Tyler Huntley (MIA - QB),Sun 1:00PM,@IND,"$6,700",-,-
-,Jake Funk (JAC - RB),Sun 9:30AM,NE,"$4,000","$4,000",0
-,Demetric Felton Jr. (IND - WR),Sun 1:00PM,MIA,"$4,000","$4,000",0
-,Carson Wentz (KC - QB),Sun 4:25PM,@SF,"$6,000",-,-
-,Darrynton Evans (BUF - RB),Sun 1:00PM,TEN,"$4,000","$4,000",0
249,Kalif Raymond (DET - WR),Sun 1:00PM,@MIN,"$4,400","$4,500",-100
344,Reggie Gilliam (BUF - RB),Sun 1:00PM,TEN,"$4,100","$4,200",-100
267,C.J. Ham (MIN - RB),Sun 1:00PM,DET,"$4,200",-,-
210,Harrison Bryant (LV - TE),Sun 4:05PM,@LAR,"$4,400","$4,000",+400
135,Devin Singletary (NYG - RB),Sun 1:00PM,PHI,"$6,200","$6,100",+100
-,Frank Darby (SF - WR),Sun 4:25PM,KC,"$4,000","$4,000",0
-,Jalen Camp (CLE - WR),Sun 1:00PM,CIN,"$4,000","$4,000",0
-,Albert Okwuegbunam Jr. (PHI - TE),Sun 1:00PM,@NYG,"$4,000","$4,000",0
241,Lil'Jordan Humphrey (DEN - WR),Thu 8:15PM,@NO,"$4,800","$4,900",-100
-,Devin Duvernay (JAC - WR),Sun 9:30AM,NE,"$4,300","$4,200",+100
-,Ben Skowronek (PIT - WR),Sun 8:20PM,NYJ,"$4,000","$4,000",0
282,Kylen Granson (IND - TE),Sun 1:00PM,MIA,"$4,300","$4,700",-400
-,Brandon Johnson (PIT - WR),Sun 8:20PM,NYJ,"$4,000","$4,000",0
-,Marquez Callaway (NO - WR),Thu 8:15PM,DEN,"$4,000","$4,000",0
336,Charlie Woerner (ATL - TE),Sun 1:00PM,SEA,"$4,200","$4,300",-100
278,Mecole Hardman Jr. (KC - WR),Sun 4:25PM,@SF,"$4,700",-,-
-,La'Mical Perine (PIT - RB),Sun 8:20PM,NYJ,"$4,000","$4,000",0
