Player,FPTS,ROST,Year,Week
Jordan Matthews (CAR),1.3,0.0%,2018,16
Phillip Dorsett II (ATL),1.3,0.0%,2018,16
Tyrell Williams (FA),1.2,0.0%,2018,16
Andy Jones (FA),1.2,0.0%,2018,16
Deonte Thompson (FA),1.1,0.0%,2018,16
Mike Williams (PIT),1.1,13.6%,2018,16
Tre'Quan Smith (FA),1.1,0.0%,2018,16
Cody Latimer (FA),1.0,0.0%,2018,16
Jaron Brown (FA),0.9,0.0%,2018,16
Brandon Powell (MIN),0.9,0.1%,2018,16
Chris Moore (WAS),0.8,0.0%,2018,16
Isaiah McKenzie (FA),0.8,0.0%,2018,16
Chad Williams (FA),0.7,0.0%,2018,16
David Moore (CAR),0.7,1.4%,2018,16
Josh Bellamy (FA),0.6,0.0%,2018,16
Noah Brown (WAS),0.6,3.7%,2018,16
Kenny Stills (FA),0.5,0.0%,2018,16
Ryan Grant (FA),0.5,0.0%,2018,16
Corey Coleman (FA),0.5,0.0%,2018,16
Richie James Jr. (FA),0.4,0.0%,2018,16
Brice Butler (FA),0.0,0.0%,2018,16
Chris Hogan (FA),0.0,0.0%,2018,16
Andre Holmes (FA),0.0,0.0%,2018,16
Willie Snead IV (FA),0.0,0.0%,2018,16
Allen Hurns (FA),0.0,0.0%,2018,16
Kelvin Benjamin (FA),0.0,0.1%,2018,16
Matthew Slater (FA),0.0,0.0%,2018,16
Darrius Heyward-Bey (FA),0.0,0.0%,2018,16
Dwayne Harris (FA),0.0,0.0%,2018,16
Aldrick Robinson (FA),0.0,0.0%,2018,16
Andre Roberts (FA),0.0,0.0%,2018,16
Lance Lenoir Jr. (FA),0.0,0.0%,2018,16
Deante Burton (FA),0.0,0.0%,2018,16
Victor Bolden Jr. (FA),0.0,0.0%,2018,16
Auden Tate (FA),0.0,0.0%,2018,16
Antonio Callaway (FA),0.0,0.0%,2018,16
James Washington (FA),0.0,0.0%,2018,16
River Cracraft (MIA),0.0,0.1%,2018,16
Brandon Zylstra (FA),0.0,0.0%,2018,16
Marcell Ateman (FA),0.0,0.0%,2018,16
Deontay Burnett (FA),0.0,0.0%,2018,16
Gehrig Dieter (FA),0.0,0.0%,2018,16
Jamal Agnew (FA),0.0,0.0%,2018,16
Josh Malone (FA),0.0,0.0%,2018,16
Shelton Gibson (FA),0.0,0.0%,2018,16
Jehu Chesson (FA),0.0,0.0%,2018,16
Marcus Kemp (FA),0.0,0.0%,2018,16
JoJo Natson (FA),0.0,0.0%,2018,16
Keelan Cole Sr. (FA),0.0,0.0%,2018,16
Justin Hardee Sr. (TEN),0.0,0.0%,2018,16
KhaDarel Hodge (ATL),0.0,0.1%,2018,16
Damion Ratley (FA),0.0,0.0%,2018,16
Russell Gage (SF),0.0,0.0%,2018,16
Da'Mari Scott (FA),0.0,0.0%,2018,16
Darvin Kidsy (FA),0.0,0.0%,2018,16
Chad Beebe (FA),0.0,0.0%,2018,16
Cameron Batson (FA),0.0,0.0%,2018,16
Rico Gafford (FA),0.0,0.0%,2018,16
Jawill Davis (FA),0.0,0.0%,2018,16
Geremy Davis (FA),0.0,0.0%,2018,16
Justin Hardy (FA),0.0,0.0%,2018,16
Ty Montgomery II (FA),0.0,0.0%,2018,16
Marvin Hall (FA),0.0,0.0%,2018,16
Tommylee Lewis (FA),0.0,0.0%,2018,16
Leonte Carroo (FA),0.0,0.0%,2018,16
Charone Peake (FA),0.0,0.0%,2018,16
Tajae Sharpe (FA),0.0,0.0%,2018,16
Pharoh Cooper (FA),0.0,0.0%,2018,16
J'Mon Moore (FA),-2.0,0.0%,2018,16
Tyreek Hill (MIA),23.6,99.2%,2018,17
Chris Godwin (TB),23.4,36.7%,2018,17
Mike Evans (TB),22.6,98.6%,2018,17
Zay Jones (ARI),21.3,1.8%,2018,17
Julio Jones (FA),19.8,0.3%,2018,17
Brandin Cooks (DAL),18.2,25.4%,2018,17
Josh Reynolds (JAC),17.5,4.4%,2018,17
Jarvis Landry (FA),16.2,7.1%,2018,17
T.J. Jones (FA),16.0,0.0%,2018,17
Nelson Agholor (BAL),16.0,0.4%,2018,17
Cole Beasley (FA),15.4,0.0%,2018,17
Julian Edelman (FA),15.3,12.1%,2018,17
Demarcus Robinson (LAR),14.9,26.0%,2018,17
DeAndre Hopkins (KC),14.7,81.1%,2018,17
Antonio Callaway (FA),13.9,0.0%,2018,17
Dontrelle Inman (FA),13.7,0.0%,2018,17
Mohamed Sanu Sr. (FA),13.4,0.0%,2018,17
Cody Latimer (FA),13.2,0.0%,2018,17
Curtis Samuel (BUF),13.2,10.4%,2018,17
Tyler Lockett (SEA),12.9,46.2%,2018,17
Kendrick Bourne (NE),11.9,2.0%,2018,17
Alshon Jeffery (FA),11.9,0.0%,2018,17
Mike Williams (PIT),11.4,13.6%,2018,17
Phillip Dorsett II (ATL),11.0,0.0%,2018,17
Breshad Perriman (FA),11.0,0.0%,2018,17
Stefon Diggs (HOU),10.7,37.5%,2018,17
Brandon Powell (MIN),10.3,0.1%,2018,17
JuJu Smith-Schuster (KC),9.7,3.8%,2018,17
Larry Fitzgerald (FA),9.6,0.2%,2018,17
Richie James Jr. (FA),9.2,0.0%,2018,17
Calvin Ridley (TEN),9.2,85.9%,2018,17
Tre'Quan Smith (FA),9.0,0.0%,2018,17
Rashard Higgins (FA),8.6,0.0%,2018,17
Robert Foster (FA),8.1,0.0%,2018,17
DJ Moore (CHI),8.1,94.8%,2018,17
Jordy Nelson (FA),7.8,0.1%,2018,17
Sterling Shepard (TB),7.6,6.4%,2018,17
Deontay Burnett (FA),7.3,0.0%,2018,17
Michael Gallup (FA),7.0,0.0%,2018,17
Kenny Stills (FA),6.8,0.0%,2018,17
Adam Humphries (FA),6.6,0.0%,2018,17
Keenan Allen (CHI),6.4,84.6%,2018,17
James Washington (FA),6.4,0.0%,2018,17
Chris Hogan (FA),6.4,0.0%,2018,17
Alex Erickson (FA),6.3,0.0%,2018,17
T.Y. Hilton (FA),6.1,1.6%,2018,17
Taylor Gabriel (FA),6.1,0.1%,2018,17
Chad Williams (FA),6.0,0.0%,2018,17
Eli Rogers (FA),5.3,0.0%,2018,17
Andy Jones (FA),5.0,0.0%,2018,17
Allen Hurns (FA),4.9,0.0%,2018,17
DaeSean Hamilton (FA),4.9,0.0%,2018,17
Corey Davis (FA),4.8,0.0%,2018,17
Keelan Cole Sr. (FA),4.5,0.0%,2018,17
Marquez Valdes-Scantling (NO),4.3,25.7%,2018,17
Adam Thielen (CAR),3.7,70.1%,2018,17
Trent Taylor (SF),3.7,0.0%,2018,17
Josh Doctson (FA),3.3,0.0%,2018,17
Golden Tate (FA),3.3,0.0%,2018,17
Chester Rogers (FA),3.2,0.0%,2018,17
Javon Wims (FA),3.2,0.0%,2018,17
Michael Thomas (FA),2.9,0.7%,2018,17
Tim Patrick (DET),2.8,4.7%,2018,17
Andre Roberts (FA),2.8,0.0%,2018,17
Vyncint Smith (FA),2.8,0.0%,2018,17
Randall Cobb (FA),2.7,0.0%,2018,17
Doug Baldwin (FA),2.7,0.0%,2018,17
Seth Roberts (FA),2.7,0.0%,2018,17
Danny Amendola (FA),2.6,0.0%,2018,17
Robert Woods (HOU),2.5,0.7%,2018,17
Courtland Sutton (DEN),2.5,90.3%,2018,17
Willie Snead IV (FA),2.5,0.0%,2018,17
Robbie Chosen (FA),2.4,0.0%,2018,17
River Cracraft (MIA),2.4,0.1%,2018,17
Trent Sherfield Sr. (MIN),2.3,0.1%,2018,17
Tyrell Williams (FA),2.3,0.0%,2018,17
Gehrig Dieter (FA),2.2,0.0%,2018,17
Kevin White (FA),2.2,0.0%,2018,17
Bennie Fowler III (FA),2.1,0.0%,2018,17
Donte Moncrief (FA),2.1,0.0%,2018,17
Jarius Wright (FA),2.0,0.0%,2018,17
Michael Crabtree (FA),2.0,0.0%,2018,17
Jake Kumerow (FA),1.9,0.0%,2018,17
Chris Moore (WAS),1.9,0.0%,2018,17
Tommylee Lewis (FA),1.8,0.0%,2018,17
Darius Jennings (FA),1.7,0.0%,2018,17
Bobo Wilson (FA),1.6,0.1%,2018,17
David Moore (CAR),1.6,1.4%,2018,17
Michael Floyd (FA),1.5,0.0%,2018,17
Auden Tate (FA),1.5,0.0%,2018,17
Russell Gage (SF),1.4,0.0%,2018,17
DeAndre Carter (CHI),1.3,0.1%,2018,17
Amari Cooper (BUF),1.1,79.7%,2018,17
Travis Benjamin (FA),1.1,0.0%,2018,17
Tavon Austin (FA),1.0,0.1%,2018,17
Kelvin Benjamin (FA),0.9,0.1%,2018,17
Darvin Kidsy (FA),0.8,0.0%,2018,17
Taywan Taylor (FA),0.8,0.0%,2018,17
Anthony Miller (BAL),0.7,0.0%,2018,17
Marcell Ateman (FA),0.7,0.0%,2018,17
Jehu Chesson (FA),0.7,0.0%,2018,17
Allen Lazard (NYJ),0.7,9.6%,2018,17
Jaron Brown (FA),0.7,0.0%,2018,17
Laquon Treadwell (IND),0.7,0.0%,2018,17
John Brown (FA),0.7,0.0%,2018,17
Jamison Crowder (WAS),0.7,0.1%,2018,17
J'Mon Moore (FA),0.5,0.0%,2018,17
Ray-Ray McCloud III (ATL),0.5,19.3%,2018,17
Ryan Grant (FA),0.4,0.0%,2018,17
J.J. Jones (FA),0.3,0.0%,2018,17
Noah Brown (WAS),0.3,3.7%,2018,17
Josh Bellamy (FA),0.2,0.0%,2018,17
Ryan Switzer (FA),0.2,0.0%,2018,17
John Ross (FA),0.1,0.0%,2018,17
Brice Butler (FA),0.0,0.0%,2018,17
Jordan Matthews (CAR),0.0,0.0%,2018,17
Matthew Slater (FA),0.0,0.0%,2018,17
Darrius Heyward-Bey (FA),0.0,0.0%,2018,17
Torrey Smith (FA),0.0,0.0%,2018,17
Aldrick Robinson (FA),0.0,0.0%,2018,17
Dwayne Harris (FA),0.0,0.0%,2018,17
Victor Bolden Jr. (FA),0.0,0.0%,2018,17
Deante Burton (FA),0.0,0.0%,2018,17
DJ Chark Jr. (LAC),0.0,2.4%,2018,17
Brandon Zylstra (FA),0.0,0.0%,2018,17
Zach Pascal (ARI),0.0,0.0%,2018,17
Austin Carr (FA),0.0,0.0%,2018,17
Josh Malone (FA),0.0,0.0%,2018,17
Isaiah McKenzie (FA),0.0,0.0%,2018,17
Brendan Langley (FA),0.0,0.0%,2018,17
Malachi Dupre (FA),0.0,0.0%,2018,17
Marcus Kemp (FA),0.0,0.0%,2018,17
Justin Hardee Sr. (TEN),0.0,0.0%,2018,17
JoJo Natson (FA),0.0,0.0%,2018,17
KhaDarel Hodge (ATL),0.0,0.1%,2018,17
Steven Dunbar Jr. (FA),0.0,0.0%,2018,17
Chris Lacy (FA),0.0,0.0%,2018,17
Damion Ratley (FA),0.0,0.0%,2018,17
Justin Watson (KC),0.0,0.7%,2018,17
Da'Mari Scott (FA),0.0,0.0%,2018,17
Keith Kirkwood (FA),0.0,0.0%,2018,17
Steven Mitchell Jr. (FA),0.0,0.0%,2018,17
Cameron Batson (FA),0.0,0.0%,2018,17
Chris Conley (SF),0.0,0.1%,2018,17
Geremy Davis (FA),0.0,0.0%,2018,17
Ty Montgomery II (FA),0.0,0.0%,2018,17
DeVante Parker (FA),0.0,0.0%,2018,17
Justin Hardy (FA),0.0,0.0%,2018,17
Mose Frazier (FA),0.0,0.0%,2018,17
Marvin Hall (FA),0.0,0.0%,2018,17
Tajae Sharpe (FA),0.0,0.0%,2018,17
Corey Coleman (FA),0.0,0.0%,2018,17
Pharoh Cooper (FA),0.0,0.0%,2018,17
Leonte Carroo (FA),0.0,0.0%,2018,17
Charone Peake (FA),0.0,0.0%,2018,17
Cody Core (FA),0.0,0.0%,2018,17
Alonzo Russell (FA),0.0,0.0%,2018,17
Dede Westbrook (FA),-1.0,0.0%,2018,17
Sammy Watkins (FA),37.8,0.0%,2019,1
John Ross (FA),27.8,0.0%,2019,1
DeSean Jackson (FA),27.4,0.6%,2019,1
Marquise Brown (KC),26.7,33.2%,2019,1
DeAndre Hopkins (KC),23.1,81.1%,2019,1
Phillip Dorsett II (ATL),21.5,0.0%,2019,1
T.Y. Hilton (FA),20.7,1.6%,2019,1
DJ Chark Jr. (LAC),20.6,2.4%,2019,1
Terry McLaurin (WAS),18.5,94.2%,2019,1
John Brown (FA),18.3,0.0%,2019,1
Keenan Allen (CHI),18.3,84.6%,2019,1
Larry Fitzgerald (FA),17.3,0.2%,2019,1
Alshon Jeffery (FA),17.1,0.0%,2019,1
Amari Cooper (BUF),16.6,79.7%,2019,1
Tyrell Williams (FA),16.5,0.0%,2019,1
Danny Amendola (FA),16.4,0.0%,2019,1
Michael Gallup (FA),15.8,0.0%,2019,1
Chris Conley (SF),15.7,0.1%,2019,1
Emmanuel Sanders (FA),14.6,0.0%,2019,1
Josh Gordon (FA),13.3,0.1%,2019,1
Randall Cobb (FA),12.9,0.0%,2019,1
Calvin Ridley (TEN),12.4,85.9%,2019,1
Michael Thomas (FA),12.3,0.7%,2019,1
Courtland Sutton (DEN),12.0,90.3%,2019,1
Chris Godwin (TB),11.3,36.7%,2019,1
Tyler Lockett (SEA),10.4,46.2%,2019,1
Julian Edelman (FA),10.4,12.1%,2019,1
Adam Thielen (CAR),10.3,70.1%,2019,1
Jamison Crowder (WAS),10.3,0.1%,2019,1
Allen Robinson II (DET),10.2,0.1%,2019,1
Kenny Golladay (FA),10.2,4.0%,2019,1
Willie Snead IV (FA),10.1,0.0%,2019,1
Ted Ginn Jr. (FA),10.1,0.0%,2019,1
A.J. Brown (PHI),10.0,98.7%,2019,1
Richie James Jr. (FA),9.9,0.0%,2019,1
Kenny Stills (FA),9.7,0.0%,2019,1
Trey Quinn (FA),9.3,0.0%,2019,1
Dede Westbrook (FA),9.2,0.0%,2019,1
Julio Jones (FA),9.1,0.3%,2019,1
DK Metcalf (SEA),8.9,96.7%,2019,1
Tre'Quan Smith (FA),8.6,0.0%,2019,1
Robert Woods (HOU),8.6,0.7%,2019,1
Preston Williams (FA),8.4,0.0%,2019,1
JuJu Smith-Schuster (KC),7.8,3.8%,2019,1
Jarvis Landry (FA),7.7,7.1%,2019,1
DeVante Parker (FA),7.5,0.0%,2019,1
Cody Latimer (FA),7.4,0.0%,2019,1
Odell Beckham Jr. (FA),7.1,2.6%,2019,1
William Fuller V (FA),6.9,0.0%,2019,1
Miles Boykin (FA),6.5,0.0%,2019,1
Christian Kirk (JAC),6.4,44.7%,2019,1
Tyler Boyd (TEN),6.3,3.1%,2019,1
Marvin Jones Jr. (FA),6.0,0.0%,2019,1
Mohamed Sanu Sr. (FA),5.7,0.0%,2019,1
DJ Moore (CHI),5.6,94.8%,2019,1
Marquez Valdes-Scantling (NO),5.2,25.7%,2019,1
James Washington (FA),5.1,0.0%,2019,1
Rashard Higgins (FA),4.6,0.0%,2019,1
KeeSean Johnson (FA),4.6,0.0%,2019,1
Cooper Kupp (LAR),4.6,96.0%,2019,1
Damiere Byrd (FA),4.2,0.0%,2019,1
Sterling Shepard (TB),4.2,6.4%,2019,1
Justin Hardy (FA),4.1,0.0%,2019,1
Bennie Fowler III (FA),4.0,0.0%,2019,1
Cole Beasley (FA),4.0,0.0%,2019,1
Brandin Cooks (DAL),3.9,25.4%,2019,1
Stefon Diggs (HOU),3.7,37.5%,2019,1
Davante Adams (NYJ),3.6,98.9%,2019,1
Paul Richardson Jr. (FA),3.6,0.0%,2019,1
Deon Cain (FA),3.5,0.0%,2019,1
Devin Funchess (FA),3.2,0.0%,2019,1
Curtis Samuel (BUF),3.2,10.4%,2019,1
Kelvin Harmon (DAL),3.1,0.0%,2019,1
Damion Willis (FA),3.0,0.0%,2019,1
Mike Williams (PIT),2.9,13.6%,2019,1
Ryan Switzer (FA),2.9,0.0%,2019,1
Trevor Davis (FA),2.8,0.0%,2019,1
Mike Evans (TB),2.8,98.6%,2019,1
Diontae Johnson (FA),2.5,51.5%,2019,1
Taylor Gabriel (FA),2.4,0.1%,2019,1
Robbie Chosen (FA),2.3,0.0%,2019,1
Jakobi Meyers (LV),2.2,71.1%,2019,1
Allen Hurns (FA),2.2,0.0%,2019,1
Tyreek Hill (MIA),2.1,99.2%,2019,1
Zay Jones (ARI),1.8,1.8%,2019,1
Deebo Samuel Sr. (SF),1.7,94.2%,2019,1
Damion Ratley (FA),1.7,0.0%,2019,1
Ryan Grant (FA),1.6,0.0%,2019,1
Josh Bellamy (FA),1.5,0.0%,2019,1
Jarius Wright (FA),1.4,0.0%,2019,1
Albert Wilson (FA),1.4,0.0%,2019,1
Hunter Renfrow (FA),1.3,0.0%,2019,1
Russell Gage (SF),1.2,0.0%,2019,1
Travis Benjamin (FA),1.2,0.0%,2019,1
Nelson Agholor (BAL),1.1,0.4%,2019,1
Seth Roberts (FA),1.0,0.0%,2019,1
Breshad Perriman (FA),1.0,0.0%,2019,1
Kendrick Bourne (NE),0.9,2.0%,2019,1
Chad Beebe (FA),0.9,0.0%,2019,1
Parris Campbell (PHI),0.8,0.0%,2019,1
Alex Erickson (FA),0.8,0.0%,2019,1
Tavon Austin (FA),0.8,0.1%,2019,1
Donte Moncrief (FA),0.7,0.0%,2019,1
Dwayne Harris (FA),0.7,0.0%,2019,1
Dante Pettis (NO),0.7,0.1%,2019,1
Marquise Goodwin (FA),0.7,0.0%,2019,1
DaeSean Hamilton (FA),0.5,0.0%,2019,1
Adam Humphries (FA),0.5,0.0%,2019,1
Dontrelle Inman (FA),0.5,0.0%,2019,1
Gunner Olszewski (NYG),0.0,0.0%,2019,1
Bisi Johnson (FA),0.0,0.0%,2019,1
Steven Sims Jr. (BAL),0.0,0.0%,2019,1
Deonte Harty (BAL),0.0,0.1%,2019,1
Mecole Hardman Jr. (KC),0.0,0.2%,2019,1
Markus Wheaton (FA),0.0,0.0%,2019,1
Justin Hunter (FA),0.0,0.0%,2019,1
Terrance Williams (FA),0.0,0.0%,2019,1
Russell Shepard (FA),0.0,0.0%,2019,1
Jaron Brown (FA),0.0,0.0%,2019,1
Brian Quick (FA),0.0,0.0%,2019,1
Jeremy Ross (FA),0.0,0.0%,2019,1
Kamar Aiken (FA),0.0,0.0%,2019,1
Rod Streater (FA),0.0,0.1%,2019,1
Chris Hogan (FA),0.0,0.0%,2019,1
Deonte Thompson (FA),0.0,0.0%,2019,1
Andre Holmes (FA),0.0,0.0%,2019,1
Freddie Martino (FA),0.0,0.1%,2019,1
Marqise Lee (FA),0.0,0.0%,2019,1
Kelvin Benjamin (FA),0.0,0.1%,2019,1
Martavis Bryant (FA),0.0,0.0%,2019,1
Jordy Nelson (FA),0.0,0.1%,2019,1
James Jones (FA),0.0,0.0%,2019,1
Michael Crabtree (FA),0.0,0.0%,2019,1
Mike Wallace (FA),0.0,0.0%,2019,1
Matthew Slater (FA),0.0,0.0%,2019,1
Brandon Tate (FA),0.0,0.0%,2019,1
Brandon Marshall (FA),0.0,2.6%,2019,1
Darrius Heyward-Bey (FA),0.0,0.0%,2019,1
Pierre Garcon (FA),0.0,0.0%,2019,1
A.J. Green (FA),0.0,0.6%,2019,1
Torrey Smith (FA),0.0,0.0%,2019,1
Doug Baldwin (FA),0.0,0.0%,2019,1
Jeremy Kerley (FA),0.0,0.0%,2019,1
Brandon LaFell (FA),0.0,0.0%,2019,1
Victor Bolden Jr. (FA),0.0,0.0%,2019,1
Lance Lenoir Jr. (FA),0.0,0.0%,2019,1
Zach Pascal (ARI),0.0,0.0%,2019,1
Bobo Wilson (FA),0.0,0.1%,2019,1
Anthony Miller (BAL),0.0,0.0%,2019,1
Marcell Ateman (FA),0.0,0.0%,2019,1
Deontay Burnett (FA),0.0,0.0%,2019,1
River Cracraft (MIA),0.0,0.1%,2019,1
Antonio Callaway (FA),0.0,0.0%,2019,1
Braxton Berrios (MIA),0.0,0.2%,2019,1
J'Mon Moore (FA),0.0,0.0%,2019,1
Allen Lazard (NYJ),0.0,9.6%,2019,1
Josh Malone (FA),0.0,0.0%,2019,1
Austin Carr (FA),0.0,0.0%,2019,1
Tim Patrick (DET),0.0,4.7%,2019,1
Keon Hatcher (FA),0.0,0.0%,2019,1
Isaiah McKenzie (FA),0.0,0.0%,2019,1
Isaiah Ford (FA),0.0,0.0%,2019,1
Josh Reynolds (JAC),0.0,4.4%,2019,1
Noah Brown (WAS),0.0,3.7%,2019,1
Mack Hollins (BUF),0.0,0.8%,2019,1
Jehu Chesson (FA),0.0,0.0%,2019,1
Gehrig Dieter (FA),0.0,0.0%,2019,1
Keelan Cole Sr. (FA),0.0,0.0%,2019,1
Justin Hardee Sr. (TEN),0.0,0.0%,2019,1
Riley McCarron (FA),0.0,0.0%,2019,1
Marcus Kemp (FA),0.0,0.0%,2019,1
JoJo Natson (FA),0.0,0.0%,2019,1
David Moore (CAR),0.0,1.4%,2019,1
KhaDarel Hodge (ATL),0.0,0.1%,2019,1
Malik Turner (FA),0.0,0.0%,2019,1
J.J. Arcega-Whiteside (FA),0.0,0.0%,2019,1
Janarion Grant (FA),0.0,0.0%,2019,1
Cam Phillips (FA),0.0,0.0%,2019,1
Andy Isabella (FA),0.0,0.0%,2019,1
Auden Tate (FA),0.0,0.0%,2019,1
Derrick Willies (FA),0.0,0.0%,2019,1
Darvin Kidsy (FA),0.0,0.0%,2019,1
Vyncint Smith (FA),0.0,0.0%,2019,1
J.J. Jones (FA),0.0,0.0%,2019,1
Byron Pringle (FA),0.0,0.0%,2019,1
Chris Lacy (FA),0.0,0.0%,2019,1
Justin Watson (KC),0.0,0.7%,2019,1
Equanimeous St. Brown (FA),0.0,0.0%,2019,1
Javon Wims (FA),0.0,0.0%,2019,1
Robert Foster (FA),0.0,0.0%,2019,1
Keke Coutee (FA),0.0,0.0%,2019,1
Daurice Fountain (FA),0.0,0.0%,2019,1
Ray-Ray McCloud III (ATL),0.0,19.3%,2019,1
Cam Sims (FA),0.0,0.0%,2019,1
Saeed Blacknall (FA),0.0,0.0%,2019,1
Steven Mitchell Jr. (FA),0.0,0.0%,2019,1
Keith Kirkwood (FA),0.0,0.0%,2019,1
Trent Sherfield Sr. (MIN),0.0,0.1%,2019,1
Eli Rogers (FA),0.0,0.0%,2019,1
Bradley Marquez (FA),0.0,0.0%,2019,1
Geremy Davis (FA),0.0,0.0%,2019,1
Kaelin Clay (FA),0.0,0.0%,2019,1
J.J. Nelson (FA),0.0,0.0%,2019,1
Darius Jennings (FA),0.0,0.0%,2019,1
Tony Jones (FA),0.0,0.0%,2019,1
Diontae Spencer (FA),0.0,0.0%,2019,1
Jake Kumerow (FA),0.0,0.0%,2019,1
Rashad Greene (FA),0.0,0.0%,2019,1
Devin Smith (FA),0.0,0.0%,2019,1
Ty Montgomery II (FA),0.0,0.0%,2019,1
Mose Frazier (FA),0.0,0.0%,2019,1
Max McCaffrey (FA),0.0,0.0%,2019,1
Andy Jones (FA),0.0,0.0%,2019,1
Chester Rogers (FA),0.0,0.0%,2019,1
Corey Davis (FA),0.0,0.0%,2019,1
Leonte Carroo (FA),0.0,0.0%,2019,1
Tajae Sharpe (FA),0.0,0.0%,2019,1
Pharoh Cooper (FA),0.0,0.0%,2019,1
Chris Moore (WAS),0.0,0.0%,2019,1
Demarcus Robinson (LAR),0.0,26.0%,2019,1
Mike Thomas (FA),0.0,0.0%,2019,1
Corey Coleman (FA),0.0,0.0%,2019,1
Laquon Treadwell (IND),0.0,0.0%,2019,1
Charone Peake (FA),0.0,0.0%,2019,1
Geronimo Allison (FA),0.0,0.0%,2019,1
Cody Core (FA),0.0,0.0%,2019,1
Marcus Johnson (FA),0.0,0.0%,2019,1
Johnny Holton (FA),0.0,0.0%,2019,1
Alonzo Russell (FA),0.0,0.0%,2019,1
Keenan Reynolds (FA),0.0,0.0%,2019,1
DeAndre Carter (CHI),-0.1,0.1%,2019,1
Jamal Agnew (FA),-2.0,0.0%,2019,1
Jakeem Grant Sr. (FA),-2.3,0.0%,2019,1
Quincy Enunwa (FA),-2.4,0.0%,2019,1
Demarcus Robinson (LAR),29.2,26.0%,2019,2
Julio Jones (FA),22.6,0.3%,2019,2
Odell Beckham Jr. (FA),22.1,2.6%,2019,2
Chris Godwin (TB),18.1,36.7%,2019,2
Emmanuel Sanders (FA),17.8,0.0%,2019,2
Kenny Golladay (FA),17.7,4.0%,2019,2
John Ross (FA),17.2,0.0%,2019,2
Nelson Agholor (BAL),16.7,0.4%,2019,2
Calvin Ridley (TEN),16.5,85.9%,2019,2
Deebo Samuel Sr. (SF),15.3,94.2%,2019,2
Marquise Goodwin (FA),13.7,0.0%,2019,2
Brandin Cooks (DAL),13.6,25.4%,2019,2
Devin Smith (FA),13.4,0.0%,2019,2
Cooper Kupp (LAR),12.6,96.0%,2019,2
Terry McLaurin (WAS),12.2,94.2%,2019,2
Tyler Boyd (TEN),12.2,3.1%,2019,2
Antonio Brown (FA),12.1,1.3%,2019,2
DK Metcalf (SEA),12.1,96.7%,2019,2
Mecole Hardman Jr. (KC),12.1,0.2%,2019,2
DJ Chark Jr. (LAC),11.5,2.4%,2019,2
Christian Kirk (JAC),11.4,44.7%,2019,2
Davante Adams (NYJ),10.6,98.9%,2019,2
Tyrell Williams (FA),10.6,0.0%,2019,2
Larry Fitzgerald (FA),10.4,0.2%,2019,2
Isaiah McKenzie (FA),10.4,0.0%,2019,2
Amari Cooper (BUF),10.4,79.7%,2019,2
T.Y. Hilton (FA),10.3,1.6%,2019,2
T.J. Jones (FA),9.8,0.0%,2019,2
Keenan Allen (CHI),9.8,84.6%,2019,2
Curtis Samuel (BUF),9.3,10.4%,2019,2
Michael Thomas (FA),8.9,0.7%,2019,2
DJ Moore (CHI),8.9,94.8%,2019,2
Stefon Diggs (HOU),8.9,37.5%,2019,2
Marquise Brown (KC),8.6,33.2%,2019,2
JuJu Smith-Schuster (KC),8.4,3.8%,2019,2
Mike Williams (PIT),8.3,13.6%,2019,2
Cole Beasley (FA),8.3,0.0%,2019,2
Robbie Chosen (FA),8.1,0.0%,2019,2
Tyler Lockett (SEA),7.9,46.2%,2019,2
Paul Richardson Jr. (FA),7.6,0.0%,2019,2
Adam Thielen (CAR),7.5,70.1%,2019,2
Chris Conley (SF),7.3,0.1%,2019,2
John Brown (FA),7.2,0.0%,2019,2
Parris Campbell (PHI),7.2,0.0%,2019,2
Bennie Fowler III (FA),7.1,0.0%,2019,2
Michael Gallup (FA),6.8,0.0%,2019,2
Geronimo Allison (FA),6.5,0.0%,2019,2
Preston Williams (FA),6.3,0.0%,2019,2
Chad Beebe (FA),6.1,0.0%,2019,2
Mike Evans (TB),6.1,98.6%,2019,2
Malik Turner (FA),5.4,0.0%,2019,2
Julian Edelman (FA),5.2,12.1%,2019,2
KeeSean Johnson (FA),5.1,0.0%,2019,2
Mack Hollins (BUF),5.0,0.8%,2019,2
Damion Ratley (FA),5.0,0.0%,2019,2
Sammy Watkins (FA),4.9,0.0%,2019,2
Tre'Quan Smith (FA),4.9,0.0%,2019,2
Damiere Byrd (FA),4.5,0.0%,2019,2
Marvin Jones Jr. (FA),4.3,0.0%,2019,2
Robert Woods (HOU),4.2,0.7%,2019,2
Allen Robinson II (DET),4.1,0.1%,2019,2
William Fuller V (FA),4.0,0.0%,2019,2
DeAndre Hopkins (KC),4.0,81.1%,2019,2
Courtland Sutton (DEN),4.0,90.3%,2019,2
Jamison Crowder (WAS),4.0,0.1%,2019,2
Phillip Dorsett II (ATL),3.9,0.0%,2019,2
Corey Davis (FA),3.8,0.0%,2019,2
Kenny Stills (FA),3.8,0.0%,2019,2
Trey Quinn (FA),3.6,0.0%,2019,2
Randall Cobb (FA),3.5,0.0%,2019,2
Jarvis Landry (FA),3.2,7.1%,2019,2
Hunter Renfrow (FA),3.0,0.0%,2019,2
Cody Latimer (FA),3.0,0.0%,2019,2
Cody Core (FA),2.8,0.0%,2019,2
Dontrelle Inman (FA),2.8,0.0%,2019,2
Taylor Gabriel (FA),2.5,0.1%,2019,2
